id,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
D1M291,1,84.93474,H,H,B,B,H,B,H,H,H,A,H,H,B,A,H,H,H,H,B,-,H,H,B,H,B,H,H,A,H,H,A,A,H,B,B,B,A,H,A,B,H,H,A,B,B,H,B,H,H,A,B,H,A,B,B,B,B,H,H,A,H,H,H,H,A,H,-,B,B,H,H,A,H,H,A,H,H,B,H,A,B,A,B,H,H,B,B,H,B,A,A,H,H,A,H,-,H,H,H,-,A,B,A,H,A,A,H,B,H,-,H,H,A,A,H,H,B,H,A,H
D1M209,1,92.68394,H,H,B,B,H,B,H,H,-,A,-,H,-,A,H,A,H,B,-,H,H,-,B,H,B,H,A,A,H,H,H,A,H,B,H,H,A,H,A,B,-,H,A,H,-,H,-,H,H,H,B,H,A,B,B,B,B,H,H,A,H,H,H,H,A,H,H,B,B,H,-,A,H,H,A,H,H,B,H,A,B,A,B,H,H,H,B,H,B,H,A,A,B,-,H,H,B,H,H,A,A,-,A,H,A,A,H,B,H,B,H,B,A,-,H,H,H,H,A,A
D1M155,1,93.64344,H,H,B,B,H,B,H,H,H,A,H,H,B,A,H,A,H,B,B,H,H,H,B,A,B,H,A,A,H,H,H,A,H,B,-,-,-,-,-,B,H,H,A,H,B,H,B,H,H,H,B,H,A,B,B,B,B,H,H,A,H,H,H,H,A,H,H,B,B,H,H,A,H,H,A,H,H,B,H,A,B,A,B,H,H,H,B,B,B,H,H,A,B,A,H,H,B,H,H,A,A,H,A,H,A,A,H,B,H,B,H,B,A,A,H,H,H,H,A,A
D2M365,2,0,H,B,H,A,B,H,B,H,A,A,A,B,H,H,H,B,H,B,H,H,H,H,-,H,H,A,H,H,-,-,B,-,B,B,H,A,B,A,H,A,H,A,-,H,A,A,H,H,A,A,H,A,B,A,-,A,H,H,H,H,H,H,B,A,-,B,B,H,H,H,H,H,B,B,H,B,H,H,H,B,A,H,H,H,B,B,H,H,H,H,H,H,H,H,H,B,H,A,H,H,H,H,A,H,B,B,B,H,H,B,H,B,A,A,B,H,H,A,B,A
D2M37,2,27.94171,A,B,H,-,H,A,B,H,H,A,A,B,H,B,H,B,B,B,H,H,H,H,A,H,A,B,H,H,A,H,B,H,B,H,H,H,H,B,H,A,A,A,H,H,A,H,A,H,H,H,H,A,A,H,B,H,A,H,H,H,B,A,B,A,A,B,H,H,B,A,H,A,B,H,A,B,H,H,H,H,H,A,H,H,B,A,B,H,H,H,H,H,A,A,H,B,B,A,A,H,B,H,H,H,B,B,H,H,B,B,A,B,H,H,B,H,H,A,B,H
D2M396,2,47.10541,A,H,H,A,H,A,B,A,H,H,B,H,H,B,A,H,H,H,A,H,A,H,A,B,A,B,H,B,H,H,B,B,B,H,H,H,H,B,B,A,A,H,H,H,-,A,B,H,H,H,H,H,A,H,B,A,A,H,-,H,H,H,B,A,H,B,H,H,B,A,B,A,H,H,A,B,H,-,H,H,H,A,H,H,B,A,H,H,H,H,H,B,A,H,A,H,B,H,A,H,B,A,H,H,B,B,H,H,B,B,A,H,H,H,H,B,B,A,H,H
D2M493,2,67.26185,-,-,-,-,-,A,B,-,H,H,B,H,H,H,A,H,-,H,A,A,A,H,A,B,-,-,-,-,H,H,H,B,B,A,H,B,A,-,B,A,A,H,-,A,-,-,-,-,-,-,-,-,-,H,B,-,H,A,B,H,H,H,B,A,H,B,-,H,-,A,-,A,-,-,-,-,H,A,H,H,H,H,B,H,A,A,H,H,A,H,H,B,A,H,H,B,B,H,H,H,H,A,B,A,B,B,H,A,B,B,H,A,H,B,H,B,H,H,H,H
D2M226,2,77.39805,A,H,-,H,-,-,-,A,H,H,B,H,H,-,H,A,H,H,A,A,A,A,A,B,H,H,H,A,H,-,H,B,H,A,A,B,A,B,B,H,-,H,B,A,A,B,A,B,H,A,A,B,H,H,B,A,B,H,B,-,H,H,B,A,H,-,H,B,H,A,H,A,H,H,H,A,H,H,H,H,H,H,B,H,A,A,A,A,A,H,H,H,A,H,H,B,B,H,H,H,H,A,B,A,B,B,H,A,H,B,H,A,H,B,H,B,H,H,H,A
D2M148,2,90.8563,A,A,H,H,H,A,H,A,B,H,B,H,H,H,H,A,H,B,H,A,B,A,H,A,H,A,H,A,B,H,A,H,H,H,H,B,A,B,H,H,A,H,B,A,A,B,H,B,H,A,H,B,H,A,H,A,B,H,B,H,H,H,B,A,H,B,H,B,H,A,H,A,H,H,H,A,H,H,B,H,H,H,B,H,A,A,A,A,A,H,H,H,H,H,B,H,B,H,H,H,H,A,B,A,A,B,H,A,H,B,H,A,B,H,A,H,H,H,H,A
D3M265,3,0,B,B,H,B,B,B,B,H,A,A,H,A,A,B,B,H,B,A,A,A,B,H,A,H,A,H,A,H,B,H,H,H,B,A,H,H,H,A,H,A,A,A,B,H,A,H,A,H,H,H,H,A,H,B,H,H,H,H,H,A,H,H,H,H,A,A,B,H,B,H,H,H,H,A,A,A,H,H,H,B,H,A,H,B,H,H,H,H,H,H,A,B,H,H,H,H,H,H,A,A,H,A,H,H,A,A,H,A,B,A,H,H,H,H,H,H,H,H,B,H
D3M51,3,32.47839,B,B,H,H,A,B,H,B,H,H,A,H,A,H,B,-,-,A,A,A,H,B,H,H,A,H,H,A,B,B,A,H,H,H,A,H,H,A,H,-,H,A,H,A,A,H,H,H,A,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,A,H,B,H,H,B,H,A,A,A,A,B,A,H,B,B,A,A,B,A,A,H,A,H,H,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D3M106,3,43.93803,B,B,H,H,A,B,H,H,H,H,A,B,A,H,B,H,A,A,H,A,H,B,H,H,A,H,H,A,B,B,A,H,H,H,H,H,H,A,H,H,H,H,A,A,A,H,H,A,A,H,H,H,B,A,H,H,H,H,A,B,B,H,B,A,H,A,H,B,H,H,B,H,A,H,H,A,H,A,H,B,B,A,A,B,A,H,H,A,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D3M257,3,57.59338,B,H,H,H,A,B,H,H,A,H,H,H,A,H,B,H,A,H,A,A,H,B,A,H,A,H,H,A,H,H,H,H,A,H,H,H,A,A,H,H,H,H,A,A,H,H,B,A,A,H,H,H,B,H,H,H,H,H,A,B,B,H,H,A,H,B,H,B,B,H,B,H,A,H,H,A,H,A,H,H,B,A,H,H,A,H,B,A,A,A,A,A,H,H,H,A,H,H,H,A,H,H,B,A,B,A,H,-,H,H,H,H,H,-,A,H,H,H,H,H
D3M147,3,63.1854,B,H,B,H,A,B,H,H,A,H,H,H,A,B,B,H,A,H,H,-,H,H,A,B,A,H,H,A,H,H,H,H,A,H,B,H,-,-,-,H,H,H,A,A,H,H,B,A,A,H,H,H,B,H,H,H,A,H,A,B,B,H,H,A,H,B,H,B,B,H,H,H,A,H,H,A,H,H,H,H,H,A,H,H,A,H,H,A,A,A,A,A,H,H,H,A,H,H,H,A,H,H,B,H,B,A,H,H,H,H,H,H,H,A,A,-,H,H,H,B
D3M19,3,70.839,B,H,B,H,A,B,H,H,A,A,H,H,A,H,B,H,A,H,A,A,H,H,A,B,A,H,H,H,H,H,H,H,A,H,B,H,A,H,A,H,H,H,A,H,B,H,B,A,A,H,B,B,B,H,H,H,A,A,A,B,B,H,H,A,H,B,H,B,B,H,H,H,H,B,H,A,H,H,H,H,H,A,H,H,H,H,H,H,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D4M2,4,0,A,H,A,H,A,H,H,H,H,B,H,H,H,H,H,B,B,A,A,A,H,B,B,H,H,H,A,H,A,B,H,H,H,B,H,H,A,H,H,H,H,B,H,H,H,H,H,A,H,B,H,B,H,H,H,H,H,A,H,H,H,H,B,B,B,H,B,H,A,A,B,B,A,A,B,H,B,A,H,H,H,A,B,B,H,H,A,B,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D4M178,4,19.16072,H,H,A,H,A,H,H,-,H,H,H,H,H,H,H,B,H,H,-,H,H,B,B,H,H,H,-,B,H,H,H,A,B,-,B,B,A,H,H,H,B,B,-,A,H,-,H,H,H,-,-,H,-,H,H,H,H,H,A,H,H,H,B,B,-,H,-,B,A,A,H,B,B,A,H,H,B,A,H,-,H,A,H,B,-,H,A,-,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D4M187,4,35.32086,A,H,H,H,A,H,H,H,H,H,H,B,H,H,B,B,H,H,H,H,H,B,B,A,H,B,H,H,H,B,B,A,B,H,B,B,A,H,H,B,B,B,A,H,H,A,H,H,H,H,B,A,B,B,A,H,H,H,A,B,H,H,B,H,H,H,B,B,H,A,H,B,B,H,H,B,B,H,H,B,H,A,H,H,H,H,A,B,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D4M251,4,68.10316,H,H,H,H,H,H,H,B,B,H,B,B,A,H,B,B,H,H,A,H,H,B,H,B,H,B,H,H,A,H,H,H,B,B,B,H,A,B,H,H,H,B,H,B,H,A,H,H,A,H,B,A,B,B,H,H,H,H,A,B,B,A,H,H,H,B,B,B,B,B,H,B,H,B,H,H,H,B,H,H,B,A,H,A,H,H,B,H,A,H,B,A,H,H,A,H,B,H,B,H,H,H,A,A,A,B,H,H,A,H,B,A,H,A,A,B,A,H,H,H
D5M148,5,0,A,H,A,-,-,A,H,B,H,H,H,B,H,B,A,H,H,H,A,B,H,A,A,-,B,B,H,B,A,-,H,A,H,H,B,H,B,A,A,B,B,H,A,H,B,B,-,-,B,H,B,H,B,-,H,H,A,A,A,A,H,A,H,B,-,H,H,B,A,-,A,B,H,H,H,-,A,-,H,B,B,B,A,H,B,B,H,H,B,A,H,H,H,A,B,A,H,B,B,H,H,H,H,B,A,B,A,H,B,A,H,H,B,H,B,H,B,H,B,H
D5M232,5,6.10396,A,H,A,H,A,A,A,B,H,H,H,B,H,B,A,B,H,H,A,H,H,A,A,B,-,B,H,B,A,H,H,A,H,H,B,H,B,H,A,B,B,H,A,H,B,B,A,A,B,H,B,H,B,B,H,H,H,A,A,A,H,A,H,B,H,H,B,B,H,H,H,B,B,H,H,H,A,A,H,H,B,B,A,H,B,H,H,H,B,H,H,H,H,A,B,H,H,B,-,-,H,-,H,B,A,B,A,-,B,A,H,H,B,-,-,H,B,H,B,H
D5M257,5,19.22335,H,H,A,A,A,A,A,B,H,H,H,B,H,B,H,B,H,H,A,H,A,H,A,B,B,H,H,B,A,H,A,A,H,H,H,H,B,H,B,B,B,H,H,H,H,B,A,H,B,H,B,H,B,B,A,H,H,A,A,A,H,H,H,B,H,H,B,B,A,A,A,H,B,H,H,A,A,A,H,A,B,B,A,H,B,A,B,H,B,H,H,H,H,A,B,H,H,B,B,H,H,A,H,B,A,B,A,B,A,A,H,H,B,H,H,A,B,H,H,H
D5M83,5,19.54883,H,H,A,A,A,A,A,B,H,H,H,B,H,B,H,B,H,H,A,H,A,H,A,B,B,H,H,B,A,H,A,A,H,H,H,H,B,H,B,B,B,H,H,H,H,B,A,H,B,H,B,H,B,B,A,H,H,A,A,A,H,H,H,B,H,H,B,B,A,A,A,H,B,H,H,A,A,A,H,A,B,B,A,H,B,A,B,H,B,H,H,H,H,A,B,H,H,B,B,H,H,A,H,B,H,B,A,B,A,A,H,H,B,H,H,A,B,H,H,H
D5M307,5,23.71714,H,H,H,A,A,A,A,B,A,H,H,B,H,B,H,B,B,H,A,H,A,H,A,B,H,H,H,B,A,H,A,A,H,H,H,H,B,H,B,B,B,H,H,H,H,B,A,H,B,H,B,-,H,B,A,H,H,A,H,A,A,H,H,B,H,-,B,B,A,A,A,H,B,H,H,A,A,A,H,A,B,B,A,H,B,A,B,H,B,H,H,H,H,A,B,H,H,B,B,H,H,A,A,H,H,B,A,B,A,A,H,H,B,-,H,A,B,-,H,H
D5M357,5,25.50009,H,H,H,A,A,A,A,B,A,H,H,B,H,B,H,B,B,H,A,H,A,H,A,B,H,H,H,B,A,H,A,A,H,H,H,H,B,H,B,B,B,H,H,A,H,B,A,H,B,H,B,H,H,B,A,H,H,A,H,H,A,H,H,B,H,H,B,B,A,A,A,H,B,H,H,A,H,A,H,A,B,H,A,H,B,A,B,H,B,H,H,H,H,A,B,H,H,B,B,H,H,A,A,H,H,B,A,B,A,A,H,H,B,B,H,A,B,H,H,H
D5M205,5,30.89665,H,H,H,A,-,H,A,B,A,H,H,B,H,B,H,B,B,H,A,H,A,H,A,B,H,H,H,B,A,H,A,A,H,B,H,H,B,H,B,B,B,H,H,A,H,B,A,H,-,-,B,H,H,B,A,H,H,B,B,H,A,H,H,B,H,H,B,B,A,H,A,H,B,H,A,A,H,A,H,A,B,H,A,H,B,A,B,H,B,B,H,H,H,B,B,H,H,B,H,H,H,A,A,H,H,B,A,B,A,A,H,H,-,B,H,A,B,H,H,H
D5M398,5,30.89765,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,H,H,H,B,A,H,A,A,H,H,H,H,B,H,B,B,B,H,H,A,H,B,A,H,-,-,B,H,H,B,A,H,H,B,B,H,A,H,H,B,H,H,B,B,A,H,A,H,-,H,A,A,H,A,H,A,B,H,A,H,B,A,B,H,B,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D5M91,5,32.90522,H,H,H,A,H,H,A,B,A,H,H,B,H,B,H,B,B,H,A,H,A,H,A,B,H,H,H,B,A,H,A,A,H,B,H,H,B,H,B,B,B,H,H,A,H,B,A,H,B,H,B,H,H,B,A,H,H,B,B,B,A,H,H,B,H,H,B,H,A,H,A,H,B,H,A,A,H,A,H,A,B,H,A,H,B,A,B,H,B,B,H,H,H,B,H,H,H,B,H,H,H,A,A,H,H,B,A,B,A,A,H,H,H,B,H,A,B,H,H,B
D5M338,5,38.06807,H,H,H,A,H,H,A,B,A,H,H,B,H,B,H,B,B,H,A,A,A,H,H,H,A,H,H,B,A,H,A,A,H,B,H,H,B,H,B,B,B,H,H,A,H,B,A,H,B,B,B,H,H,B,A,H,H,B,B,B,A,H,H,B,H,H,H,H,A,B,A,H,B,H,A,A,H,A,H,A,H,H,A,H,B,A,B,H,B,B,H,H,H,B,H,H,A,B,H,H,H,H,A,H,H,B,A,B,A,H,H,H,H,B,H,A,H,H,H,B
D5M188,5,44.02376,H,B,H,A,H,H,A,H,A,H,H,B,H,B,H,B,B,H,A,A,A,H,H,H,A,H,H,B,H,A,A,H,H,B,H,A,B,H,B,B,B,H,H,A,A,B,A,H,B,B,B,A,H,B,A,H,B,B,B,B,A,H,H,B,H,H,H,H,A,B,H,H,B,H,H,A,B,A,H,A,H,H,A,H,B,A,B,H,B,B,H,H,H,B,H,H,A,B,H,H,H,H,A,H,H,B,A,B,A,H,H,H,A,B,H,A,H,B,H,-
D5M29,5,50.98471,B,B,H,A,H,-,-,H,-,H,B,B,-,-,H,B,B,H,-,A,-,-,H,H,A,H,H,B,-,-,-,H,H,B,H,A,-,H,B,B,B,A,-,A,-,B,-,A,B,B,-,A,A,-,A,H,B,B,B,B,H,-,H,B,H,H,-,-,-,-,-,-,B,H,H,H,B,A,H,A,H,H,A,-,B,-,B,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D5M168,5,61.87613,B,B,A,A,H,H,H,H,H,H,B,B,H,H,H,H,B,H,A,A,A,B,A,H,A,A,H,B,H,H,A,H,B,B,H,A,B,H,B,B,B,A,B,A,A,B,A,A,B,H,H,A,A,H,A,H,B,B,B,H,H,B,H,B,H,H,H,H,A,H,H,H,B,A,H,H,B,A,A,A,H,H,B,H,B,A,B,B,B,B,H,H,B,B,A,H,A,A,B,H,A,H,H,H,H,B,A,B,H,H,H,B,A,B,H,H,H,B,H,B
D6M223,6,10,A,A,H,H,A,A,H,A,H,H,H,H,B,H,H,H,H,A,H,B,B,H,H,A,B,B,A,A,H,A,B,H,B,H,H,B,A,H,A,H,H,B,H,B,A,H,H,A,H,H,H,H,A,H,B,H,H,B,H,H,H,A,A,H,A,B,B,H,A,B,B,H,H,B,H,H,H,H,H,H,-,H,B,H,A,H,A,H,H,B,H,H,H,A,A,H,H,H,B,A,B,B,A,A,A,H,A,H,B,B,B,A,B,A,A,A,B,H,B,H
D6M188,6,18.18754,A,A,H,H,A,A,H,A,H,H,H,H,H,B,H,H,H,A,H,B,H,H,H,A,B,B,A,A,H,H,H,H,B,H,H,H,A,B,H,H,H,B,H,B,A,H,H,A,H,H,H,H,A,H,B,H,H,B,H,H,H,A,A,A,A,H,H,A,A,B,B,H,H,B,H,H,H,H,H,H,H,H,B,B,A,H,A,H,H,H,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D6M284,6,23.87218,H,A,H,H,A,A,H,A,H,H,H,H,H,B,H,H,B,A,A,B,H,H,H,A,H,H,A,A,H,H,H,H,H,H,H,H,A,B,H,H,H,B,H,B,A,H,H,A,H,H,H,H,A,H,B,H,H,H,H,H,H,H,A,A,A,H,H,A,A,H,B,H,H,B,H,H,H,H,H,H,H,H,H,B,A,H,A,H,H,H,H,H,H,A,H,B,H,H,B,A,B,H,A,H,H,H,A,H,B,H,B,A,H,A,H,A,B,H,B,H
D6M39,6,31.0941,H,A,H,H,A,H,H,A,H,H,H,H,H,B,A,H,B,A,H,B,H,H,H,A,H,H,A,A,B,H,H,H,H,H,H,H,H,B,H,H,H,B,H,B,H,H,B,A,H,H,H,H,A,H,B,B,B,H,H,H,H,H,A,H,A,H,H,A,H,H,B,H,H,B,H,H,H,B,H,B,H,H,H,B,A,H,A,H,H,H,H,H,H,A,H,B,H,H,B,A,H,A,A,H,H,H,A,H,B,H,B,A,H,A,H,A,H,A,B,H
D6M254,6,41.79506,H,A,B,H,A,B,H,H,B,H,H,H,H,B,A,H,B,H,H,H,H,B,H,A,H,H,H,H,B,H,H,H,A,H,H,H,H,B,H,H,H,B,H,H,H,H,B,A,B,H,H,H,H,H,B,B,B,H,H,H,H,H,A,H,H,H,H,A,B,H,B,H,H,B,H,B,H,B,H,B,H,H,H,B,A,H,A,H,H,A,H,H,H,H,A,B,H,H,B,A,H,A,A,H,H,H,A,H,H,H,B,H,H,H,H,A,H,H,B,A
D6M194,6,45.14579,H,A,B,H,A,B,H,H,B,H,H,H,H,B,A,B,B,H,H,H,H,B,H,A,H,H,H,H,B,H,H,H,A,H,H,H,H,B,H,A,H,B,H,H,H,H,B,A,H,H,H,H,H,H,B,B,B,H,B,H,H,H,A,H,H,H,H,A,B,H,B,H,H,B,H,B,H,B,H,B,H,B,A,B,A,H,A,H,H,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D6M290,6,47.5299,H,A,B,H,-,B,H,-,B,H,A,H,H,B,A,-,B,H,H,H,H,B,H,A,H,-,-,-,-,-,-,-,A,-,H,H,H,B,H,A,H,B,-,A,H,-,B,A,-,H,-,-,-,H,-,B,B,H,B,H,H,H,-,H,H,H,H,A,B,H,B,H,-,-,-,B,H,B,-,B,H,B,A,B,A,H,A,H,H,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D6M25,6,51.24736,H,A,B,H,H,B,B,B,H,H,A,H,H,B,A,B,B,H,H,H,H,B,H,A,H,H,H,H,B,H,H,B,A,H,H,H,H,B,H,A,H,H,-,A,H,H,B,A,H,H,B,H,H,H,B,B,B,H,B,H,H,H,A,H,H,H,H,A,B,H,B,H,H,B,A,B,H,B,H,B,H,B,A,B,A,H,A,H,H,A,H,H,H,H,A,H,H,H,B,A,H,-,H,H,H,A,A,B,H,H,B,H,H,-,-,H,H,H,B,A
D6M339,6,51.65073,H,A,B,H,H,B,B,B,H,A,A,H,H,B,A,B,B,H,H,H,H,B,H,A,H,H,H,H,B,H,H,B,A,H,H,H,H,B,H,A,H,H,H,A,H,H,B,A,H,H,B,H,H,H,B,B,B,H,B,H,H,H,A,H,H,H,H,A,B,H,B,H,H,B,A,B,H,B,H,B,H,B,A,B,A,H,A,H,H,A,H,H,H,H,A,H,H,H,B,A,H,A,H,H,H,A,A,B,H,H,B,H,H,H,B,H,H,H,B,A
D6M59_,6,55.30478,B,H,B,H,H,B,B,B,H,A,A,H,H,B,A,B,H,H,H,H,H,B,H,A,H,H,H,H,B,H,H,B,A,A,H,H,H,B,H,A,H,H,H,A,H,H,B,A,H,H,B,H,H,H,B,B,B,H,H,H,H,H,A,H,H,H,H,A,B,H,B,H,B,B,A,B,H,B,H,B,H,B,A,B,A,H,A,H,H,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D6M201,6,59.00988,B,H,B,B,H,B,B,B,H,A,A,H,H,B,A,B,H,H,B,H,H,B,H,A,H,-,H,H,B,H,H,B,A,A,H,H,H,B,H,A,H,H,H,A,H,H,B,A,H,H,B,H,B,H,B,B,B,H,H,H,H,H,A,H,H,H,A,H,B,H,B,H,B,B,A,B,H,B,H,B,H,B,A,H,A,H,A,H,H,A,H,H,A,H,A,H,H,H,H,H,H,A,H,H,H,A,A,B,A,H,B,H,H,H,B,H,H,H,H,A
